"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.178348417E0,-1.220052838E-2,1.206278762E-2,2.697320580E-2,3.196744546E-2
1.188401417E0,-2.514977216E-2,-3.935176134E-3,2.202821553E-2,3.366361434E-2
1.198454417E0,-7.438136251E-3,7.182573527E-4,2.052898943E-2,2.184676570E-2
1.208507417E0,-1.236157577E-2,-6.331273746E-3,1.274517596E-2,1.885028098E-2
1.218560417E0,-2.813178248E-3,-1.981449623E-2,-4.166725874E-3,2.044235400E-2
1.228612417E0,4.811346568E-3,-1.406072639E-4,1.903385639E-2,1.963304651E-2
1.238665417E0,-4.220952518E-3,-1.055215945E-2,8.706504107E-3,1.431669386E-2
1.248718417E0,-1.502578307E-2,-1.289519358E-2,1.424674094E-2,2.439323270E-2
1.258771417E0,-9.491937630E-3,-1.137422316E-2,8.710012436E-3,1.718528874E-2
1.268824417E0,1.206915332E-2,2.478671260E-3,2.412912011E-2,2.709285349E-2
1.278877417E0,1.560476391E-3,-3.793600425E-3,3.161589503E-2,3.188089255E-2
1.288930417E0,1.185821958E-2,-6.150722690E-3,5.574150681E-3,1.447480283E-2
1.298983417E0,8.218397502E-3,4.650071338E-3,1.620380402E-2,1.875442576E-2
1.309036417E0,-1.233493268E-3,3.367155679E-3,3.931083083E-3,5.320963936E-3
1.319089417E0,-1.310193263E-2,1.008556992E-2,1.336381137E-2,2.125960521E-2
1.329142417E0,-7.236937786E-3,1.136859521E-2,2.878525794E-2,3.178378989E-2
1.339195417E0,5.444093531E-3,6.161540039E-3,2.893670082E-2,3.008214395E-2
1.349248417E0,-1.572240572E-2,2.102841474E-2,2.833970010E-2,3.863323530E-2
1.359300417E0,-1.096763496E-2,1.007511802E-2,4.884530067E-2,5.106525646E-2
1.369353417E0,-9.760862156E-3,3.219632255E-2,5.722786903E-2,6.638453592E-2
1.379406417E0,-1.591963961E-2,8.574320488E-3,2.848997355E-2,3.374362888E-2
1.389459417E0,4.072956863E-3,1.404393392E-2,2.444954753E-2,2.848861934E-2
1.399512417E0,4.898680215E-3,4.669129606E-3,2.025709391E-2,2.135761440E-2
1.409565417E0,-1.040828597E-2,-4.623905048E-3,2.295149088E-2,2.562194076E-2
1.419618417E0,-8.502131357E-3,-4.073535874E-3,1.576526284E-2,1.836908938E-2
1.429671417E0,-7.167431580E-4,-2.127332171E-2,7.384448647E-3,2.252993607E-2
1.439724417E0,5.424873093E-3,-5.259241574E-3,9.478336573E-4,7.614936549E-3
1.449777417E0,5.292799681E-3,-1.312394762E-2,9.930911064E-3,1.728799364E-2
1.459830417E0,4.434927206E-3,-1.326236218E-2,1.412394941E-2,1.987573337E-2
1.469883417E0,1.678992343E-2,-9.839237686E-3,7.989635468E-3,2.103678687E-2
1.479936417E0,3.037347591E-2,-9.626435582E-3,1.921745896E-2,3.720923313E-2
1.489988417E0,1.087949618E-2,-1.014199555E-3,3.732862473E-2,3.889496448E-2
1.500041417E0,-3.825591090E-3,7.152222823E-3,4.211983323E-2,4.289370338E-2
1.510094417E0,-2.079702489E-2,4.348592553E-3,4.092173874E-2,4.610873240E-2
1.520147417E0,-1.234674303E-2,1.371259779E-2,3.628255785E-2,4.070505381E-2
1.530200417E0,-2.647905441E-2,1.718748841E-2,2.745033860E-2,4.183385196E-2
1.540253417E0,3.625566351E-4,1.023240812E-2,3.208718061E-2,3.368116362E-2
1.550306417E0,-9.590179418E-3,1.752251560E-2,2.999212325E-2,3.603522653E-2
1.560359417E0,-7.279941659E-3,4.050348010E-3,2.819585860E-2,2.940083862E-2
1.570412417E0,-6.881584675E-3,-1.313887630E-3,9.933249950E-3,1.215532652E-2
1.580465417E0,-2.049891967E-2,-3.634921610E-3,1.607399583E-2,2.630193348E-2
1.590518417E0,4.073116748E-3,-9.425839540E-3,1.712357104E-2,1.996630702E-2
1.600571417E0,1.603517351E-2,-1.295626044E-2,1.099042654E-2,2.336195518E-2
1.610624417E0,1.741822959E-2,-1.237760536E-2,2.131894827E-2,3.018438987E-2
1.620677417E0,1.989040268E-2,1.230747532E-3,2.266439259E-2,3.017975397E-2
1.630729417E0,3.171379021E-3,-8.449610341E-3,3.179423511E-2,3.305036983E-2
1.640782417E0,2.276374444E-3,1.935209110E-3,3.209302783E-2,3.223180650E-2
1.650835417E0,5.334208703E-3,7.461887710E-3,2.625516772E-2,2.781128157E-2
1.660888417E0,-8.695317880E-3,4.524867833E-3,3.254384816E-2,3.398801310E-2
1.670941417E0,2.154671559E-3,1.625493061E-2,3.523473680E-2,3.886324814E-2
1.680994417E0,-6.376533136E-3,1.219780348E-2,3.538442552E-2,3.796714572E-2
1.691047417E0,-3.525800803E-3,-3.679195996E-3,1.831815720E-2,1.901374865E-2
1.701100542E0,9.126255961E-3,3.352354914E-3,1.457593918E-2,1.752098269E-2
1.711153542E0,-8.456848555E-3,-6.543436311E-3,8.885428905E-3,1.390272251E-2
1.721206542E0,-7.030529361E-3,5.633499920E-3,2.235449016E-2,2.410161602E-2
1.731259542E0,1.602898826E-3,-4.757806286E-3,2.055647135E-2,2.116068334E-2
1.741312542E0,1.034642197E-2,-1.342420215E-2,7.683241367E-3,1.860886479E-2
